iter	RMSE
0	14.55399056
1	14.11552093
2	13.69316991
3	13.36923232
4	12.97643803
5	12.64148562
6	12.31129179
7	11.96549436
8	11.62392993
9	11.32909445
10	11.02754158
11	10.72348531
12	10.4211593
13	10.14795838
14	9.878436973
15	9.627037948
16	9.395561968
17	9.167062938
18	8.987668871
19	8.773754335
20	8.589883704
21	8.421758922
22	8.244841897
23	8.079952156
24	7.90973949
25	7.769317124
26	7.631887565
27	7.499724212
28	7.384168514
29	7.257171459
30	7.130284899
31	7.013605321
32	6.909721784
33	6.814929764
34	6.732676834
35	6.644666057
36	6.55005507
37	6.461615733
38	6.390882851
39	6.309201289
40	6.238457303
41	6.169187309
42	6.109488922
43	6.042134829
44	5.976342617
45	5.920007906
46	5.870444027
47	5.822252797
48	5.775498887
49	5.730178551
50	5.684669627
51	5.640247279
52	5.593330509
53	5.553447314
54	5.513597176
55	5.479847625
56	5.444345628
57	5.410194212
58	5.394396865
59	5.370829912
60	5.341789772
61	5.311164608
62	5.28743357
63	5.258908803
64	5.239262397
65	5.205340436
66	5.178798485
67	5.150481176
68	5.127589177
69	5.103810463
70	5.089971552
71	5.071650748
72	5.057735468
73	5.036171232
74	5.012161851
75	4.999300537
76	4.974566439
77	4.951009485
78	4.93521593
79	4.910552901
80	4.88816954
81	4.869879179
82	4.863736543
83	4.84976999
84	4.83308928
85	4.82461699
86	4.806326018
87	4.789181035
88	4.766519176
89	4.747752796
90	4.732464171
91	4.71141401
92	4.696370362
93	4.678714193
94	4.663798708
95	4.647390259
96	4.644885273
97	4.626039084
98	4.615135777
99	4.603733612
