iter	RMSE
0	14.53345787
1	14.23504193
2	13.89551994
3	13.59869902
4	13.28654082
5	13.02164724
6	12.75750547
7	12.56118059
8	12.25783284
9	11.97153301
10	11.73308108
11	11.47614025
12	11.22105634
13	10.98076213
14	10.74663459
15	10.52926464
16	10.33901319
17	10.12388694
18	9.945007818
19	9.74730309
20	9.590090865
21	9.416840193
22	9.268777208
23	9.109762818
24	8.965884011
25	8.816926598
26	8.669076454
27	8.533181757
28	8.393798965
29	8.279752737
30	8.15105739
31	8.039287091
32	7.927942901
33	7.81671314
34	7.734827027
35	7.638435768
36	7.546857057
37	7.461775303
38	7.374685703
39	7.289792628
40	7.211787036
41	7.135125066
42	7.0617934
43	6.994279086
44	6.917950609
45	6.853270097
46	6.782406148
47	6.715088653
48	6.661718261
49	6.607621777
50	6.553556748
51	6.502282087
52	6.458991448
53	6.408688457
54	6.354431302
55	6.31323102
56	6.271070893
57	6.233885527
58	6.192434539
59	6.151855948
60	6.110203898
61	6.074585633
62	6.039953459
63	6.008960946
64	5.974691639
65	5.945706609
66	5.912480224
67	5.888639449
68	5.854890095
69	5.821094705
70	5.79560576
71	5.766631292
72	5.746642578
73	5.727420226
74	5.69935935
75	5.671827099
76	5.646153163
77	5.624909471
78	5.601633525
79	5.583091175
80	5.563535498
81	5.543925623
82	5.525290735
83	5.502538289
84	5.485911459
85	5.468284011
86	5.452780759
87	5.440584229
88	5.423069794
89	5.40524261
90	5.394958673
91	5.381754239
92	5.369404111
93	5.355978461
94	5.341426749
95	5.329089513
96	5.317530856
97	5.303004193
98	5.293177881
99	5.281765963
100	5.272760602
101	5.26822827
102	5.253296688
103	5.245468191
104	5.234517424
105	5.221556945
106	5.208631801
107	5.199498741
108	5.191230649
109	5.181933276
110	5.168709043
111	5.163269029
112	5.153997767
113	5.142821201
114	5.134040117
115	5.123072509
116	5.114602831
117	5.107627285
118	5.099384465
119	5.092657736
120	5.084452262
121	5.077947976
122	5.07451599
123	5.066005311
124	5.057866857
125	5.052810259
126	5.046742915
127	5.039774565
128	5.033729472
129	5.030077156
130	5.02544951
131	5.016714771
132	5.008920212
133	5.00438437
134	4.994903588
135	4.990538863
136	4.985647705
137	4.979259615
138	4.97313171
139	4.9676604
140	4.960922197
141	4.95773426
142	4.953007135
143	4.948743694
144	4.940592211
145	4.934346662
146	4.931793156
147	4.924817109
148	4.919122104
149	4.912913122
150	4.905895999
151	4.903036049
152	4.895187296
153	4.889041966
154	4.880676828
155	4.876102229
156	4.870679838
157	4.864528047
158	4.861273236
159	4.85762288
160	4.851517084
161	4.84471885
162	4.839606219
163	4.834414356
164	4.830291204
165	4.825995586
166	4.820366932
167	4.81703853
168	4.813726996
169	4.808129262
170	4.805032743
171	4.799755391
172	4.796155417
173	4.79052517
174	4.784751994
175	4.779053856
176	4.769988532
177	4.765886989
178	4.760142505
179	4.75523383
180	4.750484365
181	4.744351337
182	4.739984795
183	4.734421336
184	4.728134372
185	4.725077888
186	4.721070008
187	4.71515314
188	4.710917097
189	4.706549288
190	4.701388097
191	4.697452163
192	4.692117919
193	4.688178213
194	4.680649709
195	4.674889402
196	4.670334532
197	4.661625581
